Ticker	Name	Weight	Shares	Price
BEN UN Equity	Franklin Resources Inc	--	--	27.42
GRMN UN Equity	Garmin Ltd	--	--	109.27
FCX UN Equity	Freeport-McMoRan Inc	--	--	45.58
DXCM UW Equity	Dexcom Inc	--	--	410.33
GD UN Equity	General Dynamics Corp	--	--	233.34
GIS UN Equity	General Mills Inc	--	--	62.68
GPC UN Equity	Genuine Parts Co	--	--	123.71
ATO UN Equity	Atmos Energy Corp	--	--	112.04
GWW UN Equity	WW Grainger Inc	--	--	476.21
HAL UN Equity	Halliburton Co	--	--	35.66
LHX UN Equity	L3Harris Technologies Inc	--	--	252.09
PEAK UN Equity	Healthpeak Properties Inc	--	--	32.64
CTLT UN Equity	Catalent Inc	--	--	99.56
FTV UN Equity	Fortive Corp	--	--	58.21
HSY UN Equity	Hershey Co/The	--	--	204.69
SYF UN Equity	Synchrony Financial	--	--	36.47
HRL UN Equity	Hormel Foods Corp	--	--	49.69
AJG UN Equity	Arthur J Gallagher & Co	--	--	155.47
MDLZ UW Equity	Mondelez International Inc	--	--	59.89
CNP UN Equity	CenterPoint Energy Inc	--	--	28.62
HUM UN Equity	Humana Inc	--	--	429.13
WTW UW Equity	Willis Towers Watson PLC	--	--	223.42
ITW UN Equity	Illinois Tool Works Inc	--	--	206.96
CDW UW Equity	CDW Corp/DE	--	--	169.18
TT UN Equity	Trane Technologies PLC	--	--	150.37
IPG UN Equity	Interpublic Group of Cos Inc/The	--	--	34.18
IFF UN Equity	International Flavors & Fragrances Inc	--	--	120.12
J UN Equity	Jacobs Engineering Group Inc	--	--	127.26
GNRC UN Equity	Generac Holdings Inc	--	--	284.83
NXPI UW Equity	NXP Semiconductors NV	--	--	175.78
K UN Equity	Kellogg Co	--	--	60.14
BR UN Equity	Broadridge Financial Solutions Inc	--	--	144.22
KMB UN Equity	Kimberly-Clark Corp	--	--	119.89
KIM UN Equity	Kimco Realty Corp	--	--	23.83
ORCL UN Equity	Oracle Corp	--	--	76.39
KR UN Equity	Kroger Co/The	--	--	55.1
LEN UN Equity	Lennar Corp	--	--	85.29
LLY UN Equity	Eli Lilly & Co	--	--	268.32
BBWI UN Equity	Bath & Body Works Inc	--	--	47.22
CHTR UW Equity	Charter Communications Inc	--	--	580.37
LNC UN Equity	Lincoln National Corp	--	--	62.45
L UN Equity	Loews Corp	--	--	61.63
LOW UN Equity	Lowe's Cos Inc	--	--	224.39
IEX UN Equity	IDEX Corp	--	--	192.26
MMC UN Equity	Marsh & McLennan Cos Inc	--	--	151.04
MAS UN Equity	Masco Corp	--	--	54.61
SPGI UN Equity	S&P Global Inc	--	--	381.57
MDT UN Equity	Medtronic PLC	--	--	104.6
VTRS UW Equity	Viatris Inc	--	--	10.145
CVS UN Equity	CVS Health Corp	--	--	102.45
DD UN Equity	DuPont de Nemours Inc	--	--	72.94
MU UW Equity	Micron Technology Inc	--	--	72.26
MSI UN Equity	Motorola Solutions Inc	--	--	223.03
CBOE UF Equity	Cboe Global Markets Inc	--	--	115.68
LH UN Equity	Laboratory Corp of America Holdings	--	--	267.48
NEM UN Equity	Newmont Corp	--	--	73.42
NKE UN Equity	NIKE Inc	--	--	121.51
NI UN Equity	NiSource Inc	--	--	29.675
NSC UN Equity	Norfolk Southern Corp	--	--	267.12
PFG UW Equity	Principal Financial Group Inc	--	--	67.19
ES UN Equity	Eversource Energy	--	--	84.11
NOC UN Equity	Northrop Grumman Corp	--	--	437.79
WFC UN Equity	Wells Fargo & Co	--	--	50.11
NUE UN Equity	Nucor Corp	--	--	132.52
PVH UN Equity	PVH Corp	--	--	74.06
OXY UN Equity	Occidental Petroleum Corp	--	--	55.07
OMC UN Equity	Omnicom Group Inc	--	--	77.35
OKE UN Equity	ONEOK Inc	--	--	64.22
RJF UN Equity	Raymond James Financial Inc	--	--	99.87
PH UN Equity	Parker-Hannifin Corp	--	--	275.98
ROL UN Equity	Rollins Inc	--	--	33.15
PPL UN Equity	PPL Corp	--	--	26.35
COP UN Equity	ConocoPhillips	--	--	95.02
PHM UN Equity	PulteGroup Inc	--	--	45.07
PNW UN Equity	Pinnacle West Capital Corp	--	--	74.12
PNC UN Equity	PNC Financial Services Group Inc/The	--	--	184.56
PPG UN Equity	PPG Industries Inc	--	--	123.74
PGR UN Equity	Progressive Corp/The	--	--	106.28
PEG UN Equity	Public Service Enterprise Group Inc	--	--	66.63
RHI UN Equity	Robert Half International Inc	--	--	111.18
EIX UN Equity	Edison International	--	--	64.87
SLB UN Equity	Schlumberger NV	--	--	41.62
SCHW UN Equity	Charles Schwab Corp/The	--	--	83.84
SHW UN Equity	Sherwin-Williams Co/The	--	--	236.29
WST UN Equity	West Pharmaceutical Services Inc	--	--	372.17
SJM UN Equity	J M Smucker Co/The	--	--	128.63
SNA UN Equity	Snap-on Inc	--	--	205.53
AME UN Equity	AMETEK Inc	--	--	127.74
SO UN Equity	Southern Co/The	--	--	68.59
TFC UN Equity	Truist Financial Corp	--	--	58.37
LUV UN Equity	Southwest Airlines Co	--	--	40.96
WRB UN Equity	W R Berkley Corp	--	--	94.69
SWK UN Equity	Stanley Black & Decker Inc	--	--	149.53
PSA UN Equity	Public Storage	--	--	365.46
ANET UN Equity	Arista Networks Inc	--	--	120.48
SYY UN Equity	Sysco Corp	--	--	78.43
CTVA UN Equity	Corteva Inc	--	--	54.33
TXN UW Equity	Texas Instruments Inc	--	--	169.83
TXT UN Equity	Textron Inc	--	--	70.17
TMO UN Equity	Thermo Fisher Scientific Inc	--	--	546.46
TJX UN Equity	TJX Cos Inc/The	--	--	61.72
GL UN Equity	Globe Life Inc	--	--	98.46
JCI UN Equity	Johnson Controls International plc	--	--	60.78
ULTA UW Equity	Ulta Beauty Inc	--	--	367.93
UNP UN Equity	Union Pacific Corp	--	--	260.19
KEYS UN Equity	Keysight Technologies Inc	--	--	147.81
UNH UN Equity	UnitedHealth Group Inc	--	--	490.83
MRO UN Equity	Marathon Oil Corp	--	--	22.16
BIO UN Equity	Bio-Rad Laboratories Inc	--	--	554.2
VTR UN Equity	Ventas Inc	--	--	58.72
VFC UN Equity	VF Corp	--	--	55.02
VNO UN Equity	Vornado Realty Trust	--	--	46.82
VMC UN Equity	Vulcan Materials Co	--	--	176.6
WY UN Equity	Weyerhaeuser Co	--	--	39.53
WHR UN Equity	Whirlpool Corp	--	--	188.55
WMB UN Equity	Williams Cos Inc/The	--	--	30.97
CEG UW Equity	Constellation Energy Corp	--	--	49.63
WEC UN Equity	WEC Energy Group Inc	--	--	93.93
ADBE UW Equity	Adobe Inc	--	--	419.22
AES UN Equity	AES Corp/The	--	--	22.16
AMGN UW Equity	Amgen Inc	--	--	231.26
AAPL UW Equity	Apple Inc	--	--	153.51
ADSK UW Equity	Autodesk Inc	--	--	193.32
CTAS UW Equity	Cintas Corp	--	--	374.32
CMCSA UW Equity	Comcast Corp	--	--	45.47
TAP UN Equity	Molson Coors Beverage Co	--	--	51.2
KLAC UW Equity	KLA Corp	--	--	328.96
MAR UW Equity	Marriott International Inc/MD	--	--	163.63
MKC UN Equity	McCormick & Co Inc/MD	--	--	96.17
PCAR UW Equity	PACCAR Inc	--	--	87.43
COST UW Equity	Costco Wholesale Corp	--	--	527.75
FRC UN Equity	First Republic Bank/CA	--	--	162.9
SYK UN Equity	Stryker Corp	--	--	251.37
TSN UN Equity	Tyson Foods Inc	--	--	84.86
LW UN Equity	Lamb Weston Holdings Inc	--	--	50.76
AMAT UW Equity	Applied Materials Inc	--	--	124.27
AAL UW Equity	American Airlines Group Inc	--	--	14.665
CAH UN Equity	Cardinal Health Inc	--	--	52.6
CERN UW Equity	Cerner Corp	--	--	93.425
CINF UW Equity	Cincinnati Financial Corp	--	--	127.2
PARA UW Equity	Paramount Global	--	--	35.67
DHI UN Equity	DR Horton Inc	--	--	78.53
EA UW Equity	Electronic Arts Inc	--	--	121.51
EXPD UW Equity	Expeditors International of Washington I	--	--	98.9
FAST UW Equity	Fastenal Co	--	--	54.58
MTB UN Equity	M&T Bank Corp	--	--	176.12
XEL UW Equity	Xcel Energy Inc	--	--	69.72
FISV UW Equity	Fiserv Inc	--	--	95.36
FITB UW Equity	Fifth Third Bancorp	--	--	46.18
GILD UW Equity	Gilead Sciences Inc	--	--	58.025
HAS UW Equity	Hasbro Inc	--	--	88.04
HBAN UW Equity	Huntington Bancshares Inc/OH	--	--	15.15
WELL UN Equity	Welltower Inc	--	--	91.95
BIIB UW Equity	Biogen Inc	--	--	199.71
NTRS UW Equity	Northern Trust Corp	--	--	110.45
PKG UN Equity	Packaging Corp of America	--	--	150.1
PAYX UW Equity	Paychex Inc	--	--	120.94
PBCT UW Equity	People's United Financial Inc	--	--	20.7
QCOM UW Equity	QUALCOMM Inc	--	--	148.87
ROP UN Equity	Roper Technologies Inc	--	--	435.59
ROST UW Equity	Ross Stores Inc	--	--	87.55
IDXX UW Equity	IDEXX Laboratories Inc	--	--	506.48
SBUX UW Equity	Starbucks Corp	--	--	80.99
KEY UN Equity	KeyCorp	--	--	23.99
FOXA UW Equity	Fox Corp	--	--	40.26
FOX UW Equity	Fox Corp	--	--	36.99
STT UN Equity	State Street Corp	--	--	84.86
NCLH UN Equity	Norwegian Cruise Line Holdings Ltd	--	--	17.795
USB UN Equity	US Bancorp	--	--	53.86
AOS UN Equity	A O Smith Corp	--	--	65.92
NLOK UW Equity	NortonLifeLock Inc	--	--	28.505
TROW UW Equity	T Rowe Price Group Inc	--	--	137.96
WM UN Equity	Waste Management Inc	--	--	151.81
STZ UN Equity	Constellation Brands Inc	--	--	216.67
XRAY UW Equity	DENTSPLY SIRONA Inc	--	--	48.38
ZION UW Equity	Zions Bancorp NA	--	--	65.7
ALK UN Equity	Alaska Air Group Inc	--	--	50.51
IVZ UN Equity	Invesco Ltd	--	--	20.66
LIN UN Equity	Linde PLC	--	--	289.93
INTU UW Equity	Intuit Inc	--	--	441.16
MS UN Equity	Morgan Stanley	--	--	86.54
MCHP UW Equity	Microchip Technology Inc	--	--	69.31
CB UN Equity	Chubb Ltd	--	--	205.29
HOLX UW Equity	Hologic Inc	--	--	70.81
CFG UN Equity	Citizens Financial Group Inc	--	--	48.85
ORLY UW Equity	O'Reilly Automotive Inc	--	--	683.23
ALL UN Equity	Allstate Corp/The	--	--	125.68
EQR UN Equity	Equity Residential	--	--	87.29
BWA UN Equity	BorgWarner Inc	--	--	37.01
OGN UN Equity	Organon & Co	--	--	33.96
HST UW Equity	Host Hotels & Resorts Inc	--	--	18.385
INCY UW Equity	Incyte Corp	--	--	73.53
SPG UN Equity	Simon Property Group Inc	--	--	132.24
EMN UN Equity	Eastman Chemical Co	--	--	106.26
TWTR UN Equity	Twitter Inc	--	--	33.66
AVB UN Equity	AvalonBay Communities Inc	--	--	242.83
PRU UN Equity	Prudential Financial Inc	--	--	110.3
UPS UN Equity	United Parcel Service Inc	--	--	207.01
WBA UW Equity	Walgreens Boots Alliance Inc	--	--	47.91
STE UN Equity	STERIS PLC	--	--	222.17
MCK UN Equity	McKesson Corp	--	--	281.65
LMT UN Equity	Lockheed Martin Corp	--	--	446.05
ABC UN Equity	AmerisourceBergen Corp	--	--	144.05
COF UN Equity	Capital One Financial Corp	--	--	135.76
WAT UN Equity	Waters Corp	--	--	319.34
NDSN UW Equity	Nordson Corp	--	--	217.35
DLTR UW Equity	Dollar Tree Inc	--	--	149.63
DRI UN Equity	Darden Restaurants Inc	--	--	127.35
